gene_symbol,entrez_id,probe_name
CENPE,1062,CUST_11676_PI416261804
CENPE,1062,A_23_P253524
CENPF,1063,A_24_P96780
CENPF,1063,A_23_P401
CETN1,1068,CUST_2102_PI416261804
CETN1,1068,A_23_P66967
CETN2,1069,CUST_13922_PI416261804
CETN2,1069,A_23_P73493
CETN3,1070,CUST_670_PI416261804
CETN3,1070,A_23_P7732
CETP,1071,CUST_320_PI417507815
CETP,1071,A_23_P49376
CFL1,1072,A_23_P35820
CFL1,1072,A_32_P148710
CFL2,1073,A_23_P65401
CFL2,1073,A_24_P373152
CTSC,1075,A_23_P1552
CTSC,1075,A_32_P93403
CGA,1081,A_23_P42386
CGA,1081,A_24_P371782
CEACAM3,1084,CUST_11719_PI416261804
CEACAM3,1084,A_23_P130515
CEACAM7,1087,A_24_P228302
CEACAM7,1087,A_23_P130573
CEACAM8,1088,CUST_10887_PI416261804
CEACAM8,1088,A_23_P380240
CEACAM4,1089,CUST_1801_PI416261804
CEACAM4,1089,A_24_P70480
CHAD,1101,CUST_1260_PI416261804
CHAD,1101,A_23_P26976
RCBTB2,1102,CUST_1357_PI416261804
RCBTB2,1102,A_23_P14105
CHD1,1105,CUST_1717_PI416261804
CHD1,1105,A_23_P70201
CHD2,1106,CUST_1156_PI416261804
CHD2,1106,A_24_P85317
CHD2,1106,A_24_P264664
CHD4,1108,CUST_16910_PI416261804
CHD4,1108,A_23_P53541
AKR1C4,1109,CUST_16260_PI416261804
AKR1C4,1109,A_23_P149926
CHGA,1113,CUST_15559_PI416261804
CHGA,1113,A_32_P27046
CHGB,1114,A_23_P57155
CHGB,1114,A_23_P382584
CHI3L1,1116,A_24_P274111
CHI3L1,1116,A_23_P137665
CHIT1,1118,CUST_11287_PI416261804
CHIT1,1118,A_23_P126278
CHKB,1120,CUST_13002_PI416261804
CHKB,1120,A_23_P314120
CHM,1121,A_23_P22548
CHM,1121,A_23_P11144
CHM,1121,CUST_1056_PI416573500
CHML,1122,A_24_P712350
CHML,1122,A_23_P46118
CHN1,1123,A_23_P79482
CHN1,1123,A_32_P107097
DDB2,1643,A_23_P52610
AKR1C1,1645,A_24_P152968
AKR1C1,1645,CUST_630_PI417507815
AKR1C1,1645,A_24_P220947
AKR1C1,1645,A_23_P257971
GADD45A,1647,CUST_13009_PI416261804
GADD45A,1647,A_23_P23221
DDIT3,1649,A_23_P21134
DDIT3,1649,A_24_P175909
DDOST,1650,CUST_15450_PI416261804
DDOST,1650,A_23_P149099
DDX1,1653,CUST_13826_PI416261804
DDX1,1653,A_23_P108554
DDX3X,1654,A_23_P317654
DDX3X,1654,A_23_P317657
DDX3X,1654,A_32_P86616
DDX3X,1654,A_24_P126060
DDX3X,1654,A_23_P125656
DDX5,1655,CUST_17025_PI416261804
DDX5,1655,A_23_P15511
DDX6,1656,A_32_P80255
DDX6,1656,A_23_P203201
DDX6,1656,A_24_P215407
DMXL1,1657,A_24_P101128
DMXL1,1657,A_23_P250571
DHX8,1659,CUST_6253_PI416261804
DHX8,1659,A_23_P124224
DDX10,1662,CUST_10531_PI416261804
DDX10,1662,A_23_P32938
DDX10,1662,A_32_P93149
DHX15,1665,A_23_P69826
DHX15,1665,A_32_P119233
DECR1,1666,A_24_P269619
DECR1,1666,A_23_P71464
DEFA3,1668,CUST_5426_PI416261804
DEFA3,1668,A_23_P31816
DEFA4,1669,CUST_13017_PI416261804
DEFA4,1669,A_23_P326080
DEFA5,1670,A_23_P112086
DEFA5,1670,CUST_13858_PI416261804
DEFA6,1671,A_24_P363711
DEFA6,1671,A_23_P82886
DEFB1,1672,CUST_16860_PI416261804
DEFB1,1672,A_23_P71480
DEFB4A,1673,CUST_16711_PI416261804
DEFB4A,1673,A_23_P157628
